volume.identifier;volume.startDate;volume.endDate;volume.label;volume.description;volume.publisher;volume.language;volume.siv_url;volume.nakala_doi;volume.noSketch_volume
LL105;1326;1353;Registre de conclusions capitulaires LL105 de Notre-Dame de Paris (1326-1353);"Images du registre LL105 (1326-1353) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_001;10.34847/nkl.8bdfe89g;LL105
LL106A;1356;1361;Registre de conclusions capitulaires LL106A de Notre-Dame de Paris (1356-1361);"Images du registre LL106A (1356-1361) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_129;10.34847/nkl.bd9ba664;LL106A
LL106B;1362;1365;Registre de conclusions capitulaires LL106B de Notre-Dame de Paris (1362-1365);"Images du registre LL106B (1362-1365) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_185;10.34847/nkl.8edb33fm;LL106B
LL107;1367;1371;Registre de conclusions capitulaires LL107 de Notre-Dame de Paris (1367-1371);"Images du registre LL107 (1367-1371) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_213;10.34847/nkl.f75215t6;LL107
LL108A;1392;1394;Registre de conclusions capitulaires LL108A de Notre-Dame de Paris (1392-1394);"Images du registre LL108A (1392-1394) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_259;10.34847/nkl.f7decy0m;LL108A
LL108B;1397;1399;Registre de conclusions capitulaires LL108B de Notre-Dame de Paris (1397-1399);"Images du registre LL108B (1397-1399) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_289;10.34847/nkl.e7ef880p;LL108B
LL109A;1399;1402;Registre de conclusions capitulaires LL109A de Notre-Dame de Paris (1399-1402);"Images du registre LL109A (1399-1402) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_313;10.34847/nkl.bced06qw;LL109A
LL109B;1402;1405;Registre de conclusions capitulaires LL109B de Notre-Dame de Paris (1402-1405);"Images du registre LL109B (1402-1405) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_346;10.34847/nkl.e4d0y4u2;LL109B
LL109C;1405;1407;Registre de conclusions capitulaires LL109C de Notre-Dame de Paris (1405-1407);"Images du registre LL109C (1405-1407) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_391;10.34847/nkl.ae1f59xn;LL109C
LL110;1407;1412;Registre de conclusions capitulaires LL110 de Notre-Dame de Paris (1407-1412);"Images du registre LL110 (1407-1412) des Archives nationales de France, réalisées dans le cadre du projet ANR e-NDP ""Notre-Dame de Paris et son cloître"" (2021-2024), consacré aux archives, aux livres et à l'histoire du chapitre de Notre-Dame de Paris (1326-1504).";ANR e-NDP ANR-20-CE27-0012, École nationale des chartes;frm,lat;http://www.siv.archives-nationales.culture.gouv.fr/siv/UD/FRAN_IR_059635/Delib_416;10.34847/nkl.a8795ba3;LL110
